atividade_anterior,setor,cnpjs
Siderurgia e metalurgia,Mineração e Metalurgia,165
Silvicultura,"Madeira, Papel e Celulose",87
Supermercados,Alimentos e Bebidas,976
Tabaco,Tabaco,71
Tecnologia da informação,Tecnologia da Informação,1579
Telecomunicações,Telecomunicações,345
Televisão,"Mídia, Cultura e Entretenimento",242
Testes e análises técnicas,Serviços Profissionais,138
Tintas e vernizes,Químico,201
Transporte aquaviário,Transporte e Logística,94
Transporte dutoviário,Transporte e Logística,7
Transporte espacial,Transporte e Logística,1
Transporte ferroviário,Transporte e Logística,35
Transporte rodoviário de cargas,Transporte e Logística,974
Transporte rodoviário de passageiros,Transporte e Logística,1359
Turismo e agências de viagens,"Turismo, Hotelaria e Alimentação",641
Têxteis e vestuário,"Têxtil, Vestuário e Calçados",797
Têxtil,"Têxtil, Vestuário e Calçados",621
Vestuário,"Têxtil, Vestuário e Calçados",328
Veterinária,Agropecuária,18
Áudio e vídeo,Eletrônicos e Eletrodomésticos,71
Óleos e gorduras vegetais,Alimentos e Bebidas,131
Óptica,Saúde,24
Óptica e fotografia,Eletrônicos e Eletrodomésticos,15
