estab_id,cnpj,razao_social,cnae_original,setor,atividade,regra,fonte,evidencia
53653,30892495000171,HOTEL TRIJUNCAO LTDA,55108,"Turismo, Hotelaria e Alimentação",Hotéis e hospedagem,cnae_3:551,CNAE declarada no Portal da Transparência,55108
53654,30895511000180,IMPLEFORTE INDUSTRIA E COMERCIO DE MAQUINAS AGRICOLAS LTDA,28330,Máquinas e Equipamentos,Máquinas agrícolas,cnae_3:283,CNAE declarada no Portal da Transparência,28330
53655,30897694000172,POSTO VILA SUKATA LTDA,47318,"Petróleo, Gás e Combustíveis",Combustíveis,cnae_3:473,CNAE declarada no Portal da Transparência,47318
53656,30898800000132,ALBATROSS INDUSTRIA AERONAUTICA LTDA,71120,Serviços Profissionais,Engenharia e arquitetura,cnae_3:711,CNAE declarada no Portal da Transparência,71120
53657,30900661000134,BLUE MEDICAL COMERCIO E REPRESENTACAO DE EQUIPAMENTOS MEDICOS LTDA,46451,Saúde,Equipamentos médicos,cnae_5:46451,CNAE declarada no Portal da Transparência,46451
53658,30901791000191,TECNOLOGISTICA DISTRIBUIDORA E COMERCIO DE CALCADOS E BOLSAS LTDA,47822,"Têxtil, Vestuário e Calçados",Calçados e artigos de couro,cnae_5:47822,CNAE declarada no Portal da Transparência,47822
53659,30902142000105,SAFRA VIDA E PREVIDENCIA S.A.,65111,Financeiro e Seguros,Seguros e previdência,cnae_2:65,CNAE declarada no Portal da Transparência,65111
53660,30902547000143,J. AIRTON DA SILVA LTDA,90019,"Mídia, Cultura e Entretenimento",Artes e espetáculos,cnae_2:90,CNAE declarada no Portal da Transparência,90019
53661,30902608000172,EVO ENERGIA LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
53662,30902803000100,IGREJA INTERNACIONAL DA GRACA DE DEUS,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
53663,30902803044302,IGREJA INTERNACIONAL DA GRACA DE DEUS,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
53664,30903019000109,LWA ADMINISTRADORA DE HOTEIS LTDA,55108,"Turismo, Hotelaria e Alimentação",Hotéis e hospedagem,cnae_3:551,CNAE declarada no Portal da Transparência,55108
53665,30903216000128,SAGA LEMANS COMERCIO DE VEICULOS LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
53666,30910705000107,MUNKSJO CAIEIRAS LTDA.,17214,"Madeira, Papel e Celulose",Papel e celulose,cnae_2:17,CNAE declarada no Portal da Transparência,17214
53667,30910834000103,PAMPULHA VIAGENS E TURISMO LTDA,49299,Transporte e Logística,Transporte rodoviário de passageiros,cnae_3:492,CNAE declarada no Portal da Transparência,49299
53668,30913990000110,SISTEMA TRANSRIO DE COMUNICACAO LIMITADA,60101,"Mídia, Cultura e Entretenimento",Rádio,cnae_3:601,CNAE declarada no Portal da Transparência,60101
53669,30915178000123,CLEAN WATER TECHNOLOGY DO BRASIL IMPORTACAO E EXPORTACAO LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
53670,30916856000172,"LC ENGENHARIA, PROJETOS E EMPREENDIMENTOS LTDA.",71197,Serviços Profissionais,Engenharia e arquitetura,cnae_3:711,CNAE declarada no Portal da Transparência,71197
53671,30917067000156,JUPITER BRASIL IMPORTACAO E EXPORTACAO LTDA,46915,Alimentos e Bebidas,Comércio de alimentos,cnae_5:46915,CNAE declarada no Portal da Transparência,46915
53672,30917067000237,JUPITER BRASIL IMPORTACAO E EXPORTACAO LTDA,46915,Alimentos e Bebidas,Comércio de alimentos,cnae_5:46915,CNAE declarada no Portal da Transparência,46915
53673,30920117000154,RBC COMERCIO DE ANIMAIS LTDA,46117,Comércio Diversificado,Comércio atacadista — diversos,cnae_2:46,CNAE declarada no Portal da Transparência,46117
53674,30922072000157,ZZZLEEPANDGO BRASIL - LOCACAO DE EQUIPAMENTOS LTDA.,77292,Locação de Bens,Locação de objetos pessoais,cnae_3:772,CNAE declarada no Portal da Transparência,77292
53675,30922084000181,JAKALA MARKETING E DISTRIBUICAO LTDA.,46478,"Mídia, Cultura e Entretenimento",Livros e papelaria,cnae_5:46478,CNAE declarada no Portal da Transparência,46478
53676,30922248000170,POSTO VEIGA E SOUZA LTDA,47318,"Petróleo, Gás e Combustíveis",Combustíveis,cnae_3:473,CNAE declarada no Portal da Transparência,47318
53677,30923284000159,IMPORTAGENE COMERCIO E IMPORTACAO DE ANIMAIS LTDA,82300,Serviços Administrativos e Operacionais,Serviços administrativos,cnae_2:82,CNAE declarada no Portal da Transparência,82300
53678,30925337000170,WARABU COMERCIO E FABRICACAO DE DERIVADOS DE CACAU LTDA,10937,Alimentos e Bebidas,Outros alimentos,cnae_3:109,CNAE declarada no Portal da Transparência,10937
53679,30927141000115,SHABC RESTAURANTE LTDA,56112,"Turismo, Hotelaria e Alimentação",Restaurantes e alimentação,cnae_3:561,CNAE declarada no Portal da Transparência,56112
53680,30927990000179,SUMATEX PRODUTOS QUIMICOS LTDA - EM RECUPERACAO JUDICIAL,46842,Químico,Químico,cnae_5:46842,CNAE declarada no Portal da Transparência,46842
53681,30927990000411,SUMATEX PRODUTOS QUIMICOS LTDA - EM RECUPERACAO JUDICIAL,46842,Químico,Químico,cnae_5:46842,CNAE declarada no Portal da Transparência,46842
53682,30928561000116,LUCIANO DOS SANTOS LOURENCAO LTDA,56112,"Turismo, Hotelaria e Alimentação",Restaurantes e alimentação,cnae_3:561,CNAE declarada no Portal da Transparência,56112
53683,30933664000174,M & S LEON COMERCIO DE CARNES E ALIMENTOS LTDA,47229,Alimentos e Bebidas,Comércio de alimentos,cnae_3:472,CNAE declarada no Portal da Transparência,47229
53684,30937874000130,EQUIPO MAQUINAS E VEICULOS LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
53685,30938445000269,AGROTECNOLOGIA DO BRASIL LTDA,46834,Agropecuária,Insumos agropecuários,cnae_5:46834,CNAE declarada no Portal da Transparência,46834
53686,30939273000167,MS RESTAURANTES LTDA,56112,"Turismo, Hotelaria e Alimentação",Restaurantes e alimentação,cnae_3:561,CNAE declarada no Portal da Transparência,56112
53687,30939375000182,CENTRO ORTOPEDICO TRAUMATOLOGICO TIJUCA LTDA,86305,Saúde,Consultórios e clínicas,cnae_3:863,CNAE declarada no Portal da Transparência,86305
