estab_id,cnpj,razao_social,cnae_original,setor,atividade,regra,fonte,evidencia
0,-3,Inválido,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
1,00000000000191,BANCO DO BRASIL SA,64221,Financeiro e Seguros,Bancos,cnae_3:642,CNAE declarada no Portal da Transparência,64221
2,00000028000129,TARGET ENGENHARIA E CONSULTORIA LTDA.,62031,Tecnologia da Informação,Tecnologia da informação,cnae_2:62,CNAE declarada no Portal da Transparência,62031
3,00000208000100,BRB BANCO DE BRASILIA SA,64221,Financeiro e Seguros,Bancos,cnae_3:642,CNAE declarada no Portal da Transparência,64221
4,00000368000150,CASA MILITAR DO GABINETE DO GOVERNADOR,84116,Administração Pública,Administração pública,cnae_2:84,CNAE declarada no Portal da Transparência,84116
5,00000776000101,ITAU ADMINISTRADORA DE CONSORCIOS LTDA,64930,Financeiro e Seguros,Outros serviços financeiros,cnae_3:649,CNAE declarada no Portal da Transparência,64930
6,00000802000100,HC PNEUS S/A,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
7,00000993000100,SUPERMERCADO SERVE TODOS PIRAJUI LTDA,47113,Alimentos e Bebidas,Supermercados,cnae_5:47113,CNAE declarada no Portal da Transparência,47113
8,00001172000180,SA CORREIO BRAZILIENSE,58221,"Mídia, Cultura e Entretenimento",Edição de livros e periódicos,cnae_2:58,CNAE declarada no Portal da Transparência,58221
9,00001180000126,CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS,64620,Holdings e Participações,Holdings e participações,cnae_3:646,CNAE declarada no Portal da Transparência,64620
10,00001596000144,OLITRACTOR IMPORTACAO E EXPORTACAO LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
11,00001974000190,POSTO 81 LTDA,47318,"Petróleo, Gás e Combustíveis",Combustíveis,cnae_3:473,CNAE declarada no Portal da Transparência,47318
12,00002033000170,OXFORD - ASSESSORIA EM EVENTOS LTDA,82300,Serviços Administrativos e Operacionais,Serviços administrativos,cnae_2:82,CNAE declarada no Portal da Transparência,82300
13,00002765000160,"KING NUTS INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO LTDA.",46176,Comércio Diversificado,Comércio atacadista — diversos,cnae_2:46,CNAE declarada no Portal da Transparência,46176
14,00003188000121,COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA,47318,"Petróleo, Gás e Combustíveis",Combustíveis,cnae_3:473,CNAE declarada no Portal da Transparência,47318
15,00003228000135,MOTO AGRICOLA SLAVIERO SA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
16,00003516000190,MC BAUCHEMIE BRASIL INDUSTRIA E COMERCIO LTDA,20991,Químico,Químico,cnae_2:20,CNAE declarada no Portal da Transparência,20991
17,00003516000270,MC BAUCHEMIE BRASIL INDUSTRIA E COMERCIO LTDA,20991,Químico,Químico,cnae_2:20,CNAE declarada no Portal da Transparência,20991
18,00004286000183,HELCA I. E. E COMERCIO DE MATERIAL CIRURGICO LTDA,46451,Saúde,Equipamentos médicos,cnae_5:46451,CNAE declarada no Portal da Transparência,46451
19,00004309000150,DF VEICULOS LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
20,00005063000130,INSTRUVAL INSTRUMENTOS E SERVICOS LTDA,28291,Máquinas e Equipamentos,Máquinas e equipamentos,cnae_2:28,CNAE declarada no Portal da Transparência,28291
21,00005275000118,KAEFER TECKMA ENGENHARIA LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
22,00005674000189,SOUTH AMERICAN NATION COMERCIO IMPORTACAO EXPORTACAO LTDA,46451,Saúde,Equipamentos médicos,cnae_5:46451,CNAE declarada no Portal da Transparência,46451
23,00006027000191,"SERQUIMICA INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO DE PRODUTOS QUIMICOS LTDA.",20991,Químico,Químico,cnae_2:20,CNAE declarada no Portal da Transparência,20991
24,00006037000470,UNIMED DE TATUI COOPERATIVA DE TRABALHO MEDICO,86101,Saúde,Hospitais,cnae_3:861,CNAE declarada no Portal da Transparência,86101
25,00006453000125,RIPA NA BRASA RESTAURANTE LTDA.,56112,"Turismo, Hotelaria e Alimentação",Restaurantes e alimentação,cnae_3:561,CNAE declarada no Portal da Transparência,56112
26,00006878000134,ITAU UNIBANCO SERVICOS E PROCESSAMENTO DE INFORMACOES COMERCIAIS LTDA.,82997,Serviços Administrativos e Operacionais,Serviços administrativos,cnae_2:82,CNAE declarada no Portal da Transparência,82997
27,00007177000110,POLI DESIGN PROJETOS PROMOCOES E EMPREENDIMENTOS LTDA.,82997,Serviços Administrativos e Operacionais,Serviços administrativos,cnae_2:82,CNAE declarada no Portal da Transparência,82997
28,00007750000195,P.K.O. DO BRASIL IMPORTACAO E EXPORTACAO LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
29,00007750000438,P.K.O. DO BRASIL IMPORTACAO E EXPORTACAO LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
30,00008354000182,BIOSENSOR INDUSTRIA E COMERCIO LTDA,32507,Outras Indústrias,Outras indústrias,cnae_2:32,CNAE declarada no Portal da Transparência,32507
31,00010126000147,MERCADAO DE TRATORES RIO PRETO LTDA,46613,Máquinas e Equipamentos,Máquinas agrícolas,cnae_5:46613,CNAE declarada no Portal da Transparência,46613
32,00010640000182,POLY SELL PRODUTOS QUIMICOS LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
33,00011060000100,SEMENTES COSMORAMA LTDA,01415,Agropecuária,Sementes e mudas,cnae_3:014,CNAE declarada no Portal da Transparência,01415
34,00012365000136,BECHTRANS LOGISTICA INTERNATIONAL LTDA,52508,Transporte e Logística,Armazenagem e serviços de transporte,cnae_2:52,CNAE declarada no Portal da Transparência,52508
35,00012698000165,UNIMED DE PENAPOLIS COOPERATIVA DE TRABALHO MEDICO,65502,Financeiro e Seguros,Seguros e previdência,cnae_2:65,CNAE declarada no Portal da Transparência,65502
36,00012847000196,TRANSCOR INDUSTRIA DE PIGMENTOS E CORANTES LTDA,20991,Químico,Químico,cnae_2:20,CNAE declarada no Portal da Transparência,20991
37,00013314000129,CIMENTO VENCEMOS DO AMAZONAS LTDA,46745,Materiais de Construção,Materiais de construção,cnae_3:467,CNAE declarada no Portal da Transparência,46745
38,00013692000293,TEXTURA IMPORTS LTDA,46419,"Têxtil, Vestuário e Calçados",Têxteis e vestuário,cnae_5:46419,CNAE declarada no Portal da Transparência,46419
39,00015955000112,SDI BRASIL PARTICIPACOES LTDA,64638,Holdings e Participações,Holdings e participações,cnae_3:646,CNAE declarada no Portal da Transparência,64638
40,00015955000201,SDI BRASIL PARTICIPACOES LTDA,32507,Outras Indústrias,Outras indústrias,cnae_2:32,CNAE declarada no Portal da Transparência,32507
41,00017332000189,BLACK BOX DO BRASIL IND E COM LTDA,46516,Eletrônicos e Eletrodomésticos,Informática,cnae_5:46516,CNAE declarada no Portal da Transparência,46516
42,00017734000183,DRAKA COMTEQ CABOS BRASIL S.A.,27333,Máquinas e Equipamentos,Equipamentos elétricos,cnae_2:27,CNAE declarada no Portal da Transparência,27333
43,00017814000139,GRAJAU REPRESENTACAO COMERCIAL LTDA,46176,Comércio Diversificado,Comércio atacadista — diversos,cnae_2:46,CNAE declarada no Portal da Transparência,46176
44,00018127000138,TOCANTINS TRANSPORTE E TURISMO LTDA,49221,Transporte e Logística,Transporte rodoviário de passageiros,cnae_3:492,CNAE declarada no Portal da Transparência,49221
45,00018421000140,PREMOVALE PROJETOS E CONSTRUCOES LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
46,00019078000158,ORANGE JUICE & COFFEE COMERCIO DE ALIMENTOS LTDA,56112,"Turismo, Hotelaria e Alimentação",Restaurantes e alimentação,cnae_3:561,CNAE declarada no Portal da Transparência,56112
47,00020648000120,PRODIGO FILMS LTDA,59111,"Mídia, Cultura e Entretenimento",Audiovisual e música,cnae_2:59,CNAE declarada no Portal da Transparência,59111
48,00020777000118,CESVI-BRASIL CENTRO DE EXPERIMENTACAO E SEGURANCA VIARIA LTDA,82997,Serviços Administrativos e Operacionais,Serviços administrativos,cnae_2:82,CNAE declarada no Portal da Transparência,82997
49,00021076000101,CLASSINOX COM DE UTILIDADES DOMESTICAS E FERRAGENS LTDA,46893,Comércio Diversificado,Comércio atacadista — diversos,cnae_2:46,CNAE declarada no Portal da Transparência,46893
50,00021096000174,THE LYCRA COMPANY INDUSTRIA E COMERCIO TEXTIL LTDA,13138,"Têxtil, Vestuário e Calçados",Têxtil,cnae_2:13,CNAE declarada no Portal da Transparência,13138
51,00021096000417,THE LYCRA COMPANY INDUSTRIA E COMERCIO TEXTIL LTDA,13138,"Têxtil, Vestuário e Calçados",Têxtil,cnae_2:13,CNAE declarada no Portal da Transparência,13138
52,00021776000198,GIOVANNI POINT SUPER LANCHES LTDA,56112,"Turismo, Hotelaria e Alimentação",Restaurantes e alimentação,cnae_3:561,CNAE declarada no Portal da Transparência,56112
53,00022022000152,SELL - MAC MAQUINAS E EQUIPAMENTOS LTDA,46630,Máquinas e Equipamentos,Comércio de máquinas e equipamentos,cnae_3:466,CNAE declarada no Portal da Transparência,46630
54,00022264000146,LOCAL ARMAZENS GERAIS LTDA,52117,Transporte e Logística,Armazenagem e serviços de transporte,cnae_2:52,CNAE declarada no Portal da Transparência,52117
55,00022630000167,MUSILE RECORDS ENTERTAINMENT LTDA,59201,"Mídia, Cultura e Entretenimento",Audiovisual e música,cnae_2:59,CNAE declarada no Portal da Transparência,59201
56,00022887000119,"ALFB COMERCIO, IMPORTACAO, EXPORTACAO E REPRESENTACAO LTDA",46630,Máquinas e Equipamentos,Comércio de máquinas e equipamentos,cnae_3:466,CNAE declarada no Portal da Transparência,46630
57,00023851000150,A. L. B. LUZ,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
58,00025160000608,AUTOCAM DO BRASIL USINAGEM LTDA.,29492,Automotivo,Autopeças,cnae_3:294,CNAE declarada no Portal da Transparência,29492
59,00025160000780,AUTOCAM DO BRASIL USINAGEM LTDA.,29492,Automotivo,Autopeças,cnae_3:294,CNAE declarada no Portal da Transparência,29492
60,00025160001086,AUTOCAM DO BRASIL USINAGEM LTDA.,32507,Outras Indústrias,Outras indústrias,cnae_2:32,CNAE declarada no Portal da Transparência,32507
61,00025841000153,HOSPITAL SANTA LUCIA S/A,86101,Saúde,Hospitais,cnae_3:861,CNAE declarada no Portal da Transparência,86101
62,00026910000143,SWEETMIX INDUSTRIA COMERCIO IMPORTACAO E EXPORTACAO LTDA,10996,Alimentos e Bebidas,Outros alimentos,cnae_3:109,CNAE declarada no Portal da Transparência,10996
63,00026910000305,SWEETMIX INDUSTRIA COMERCIO IMPORTACAO E EXPORTACAO LTDA,46915,Alimentos e Bebidas,Comércio de alimentos,cnae_5:46915,CNAE declarada no Portal da Transparência,46915
64,00026910000496,SWEETMIX INDUSTRIA COMERCIO IMPORTACAO E EXPORTACAO LTDA,46915,Alimentos e Bebidas,Comércio de alimentos,cnae_5:46915,CNAE declarada no Portal da Transparência,46915
65,00026910000577,SWEETMIX INDUSTRIA COMERCIO IMPORTACAO E EXPORTACAO LTDA,46915,Alimentos e Bebidas,Comércio de alimentos,cnae_5:46915,CNAE declarada no Portal da Transparência,46915
66,00027571000110,ASSIST CARD DO BRASIL LTDA,79112,"Turismo, Hotelaria e Alimentação",Turismo e agências de viagens,cnae_2:79,CNAE declarada no Portal da Transparência,79112
67,00027681000181,RICHARDSON ELECTRONICS DO BRASIL LTDA,46524,Eletrônicos e Eletrodomésticos,Equipamentos de comunicação,cnae_5:46524,CNAE declarada no Portal da Transparência,46524
68,00027976000158,M M ASSESSORIA A EVENTOS CONGRESSOS E PROMOCOES LTDA,82300,Serviços Administrativos e Operacionais,Serviços administrativos,cnae_2:82,CNAE declarada no Portal da Transparência,82300
69,00028666000158,CISCO DO BRASIL LTDA,46516,Eletrônicos e Eletrodomésticos,Informática,cnae_5:46516,CNAE declarada no Portal da Transparência,46516
70,00028682000140,PROMEDON DO BRASIL PRODUTOS MEDICO HOSPITALARES LTDA,46451,Saúde,Equipamentos médicos,cnae_5:46451,CNAE declarada no Portal da Transparência,46451
71,00028682000655,PROMEDON DO BRASIL PRODUTOS MEDICO HOSPITALARES LTDA,46451,Saúde,Equipamentos médicos,cnae_5:46451,CNAE declarada no Portal da Transparência,46451
72,00028876000146,VIDEOJET DO BRASIL COMERCIO DE EQUIPAMENTOS PARA CODIFICACAO INDUSTRIAL LTDA,46630,Máquinas e Equipamentos,Comércio de máquinas e equipamentos,cnae_3:466,CNAE declarada no Portal da Transparência,46630
73,00028876000731,VIDEOJET DO BRASIL COMERCIO DE EQUIPAMENTOS PARA CODIFICACAO INDUSTRIAL LTDA,20720,Químico,Tintas e vernizes,cnae_3:207,CNAE declarada no Portal da Transparência,20720
74,00028986000108,ELEVADORES ATLAS SCHINDLER LTDA.,00000,Máquinas e Equipamentos,Máquinas e equipamentos,inferencia_mesma_raiz,CNAEs informadas em outros estabelecimentos da mesma raiz no snapshot,28224
75,00028986014672,ELEVADORES ATLAS SCHINDLER LTDA.,28224,Máquinas e Equipamentos,Máquinas e equipamentos,cnae_2:28,CNAE declarada no Portal da Transparência,28224
76,00028986014753,ELEVADORES ATLAS SCHINDLER LTDA.,28224,Máquinas e Equipamentos,Máquinas e equipamentos,cnae_2:28,CNAE declarada no Portal da Transparência,28224
77,00029160000163,AGRO COMERCIAL DA VARGEM LTDA,46915,Alimentos e Bebidas,Comércio de alimentos,cnae_5:46915,CNAE declarada no Portal da Transparência,46915
78,00029372000140,GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA,46648,Saúde,Equipamentos médicos,cnae_5:46648,CNAE declarada no Portal da Transparência,46648
79,00029372000221,GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA,26604,Saúde,Equipamentos médicos,cnae_3:266,CNAE declarada no Portal da Transparência,26604
80,00029372000302,GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA,46648,Saúde,Equipamentos médicos,cnae_5:46648,CNAE declarada no Portal da Transparência,46648
81,00029372000493,GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA,46648,Saúde,Equipamentos médicos,cnae_5:46648,CNAE declarada no Portal da Transparência,46648
82,00029372000655,GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA,46648,Saúde,Equipamentos médicos,cnae_5:46648,CNAE declarada no Portal da Transparência,46648
83,00029372000736,GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA,46443,Farmacêutico,Farmacêutico,cnae_5:46443,CNAE declarada no Portal da Transparência,46443
84,00029372000817,GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA,46451,Saúde,Equipamentos médicos,cnae_5:46451,CNAE declarada no Portal da Transparência,46451
85,00029372001031,GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA,46648,Saúde,Equipamentos médicos,cnae_5:46648,CNAE declarada no Portal da Transparência,46648
86,00029684000154,ORTHWELL COMERCIAL E IMPORTADORA LTDA,46451,Saúde,Equipamentos médicos,cnae_5:46451,CNAE declarada no Portal da Transparência,46451
87,00029920000132,GS SANEAMENTO AMBIENTAL SERVICOS LTDA,81117,Serviços Administrativos e Operacionais,Limpeza e serviços prediais,cnae_2:81,CNAE declarada no Portal da Transparência,81117
88,00033241000137,VITRAL VIDROS PLANOS LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
89,00033241000307,VITRAL VIDROS PLANOS LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
90,00033729000164,CLINICA GINECOLOGICA E OBSTETRICA DR. LIVIA BISCEGLI PITOMBO LTDA,86305,Saúde,Consultórios e clínicas,cnae_3:863,CNAE declarada no Portal da Transparência,86305
91,00033757000181,GEOAMBIENTE SENSORIAMENTO REMOTO LTDA,71197,Serviços Profissionais,Engenharia e arquitetura,cnae_3:711,CNAE declarada no Portal da Transparência,71197
92,00033767000117,E G D ENGENHARIA LTDA,71120,Serviços Profissionais,Engenharia e arquitetura,cnae_3:711,CNAE declarada no Portal da Transparência,71120
93,00034616000183,COMPANHIA DE ENGENHARIA DE TRAFEGO DE SANTOS - CET - SANTOS,84116,Administração Pública,Administração pública,cnae_2:84,CNAE declarada no Portal da Transparência,84116
94,00035103000197,NISSEI ASB SUDAMERICA LTDA,46630,Máquinas e Equipamentos,Comércio de máquinas e equipamentos,cnae_3:466,CNAE declarada no Portal da Transparência,46630
95,00038166000105,BANCO CENTRAL DO BRASIL,64107,Financeiro e Seguros,Serviços financeiros,cnae_2:64,CNAE declarada no Portal da Transparência,64107
96,00038166001098,BANCO CENTRAL DO BRASIL,64107,Financeiro e Seguros,Serviços financeiros,cnae_2:64,CNAE declarada no Portal da Transparência,64107
97,00038174000143,FUNDACAO UNIVERSIDADE DE BRASILIA,85317,Educação,Ensino superior,cnae_3:853,CNAE declarada no Portal da Transparência,85317
98,00041327000101,CURINGA EMPREENDIMENTOS IMOBILIARIOS LTDA,64620,Holdings e Participações,Holdings e participações,cnae_3:646,CNAE declarada no Portal da Transparência,64620
99,00044347000136,POSTO DE SERVICO 307 LTDA,47318,"Petróleo, Gás e Combustíveis",Combustíveis,cnae_3:473,CNAE declarada no Portal da Transparência,47318
100,00046060000145,COMPANHIA DE PLANEJAMENTO DO DISTRITO FEDERAL - CODEPLAN,84116,Administração Pública,Administração pública,cnae_2:84,CNAE declarada no Portal da Transparência,84116
101,00048785003279,INDAIA BRASIL AGUAS MINERAIS LTDA,11216,Alimentos e Bebidas,Bebidas não alcoólicas,cnae_3:112,CNAE declarada no Portal da Transparência,11216
102,00049791000144,HOSPITAL SANTA HELENA S/A,86101,Saúde,Hospitais,cnae_3:861,CNAE declarada no Portal da Transparência,86101
103,00053843000156,POSTO DOM PEDRO DE PARAISO DO TOCANTINS LTDA,47318,"Petróleo, Gás e Combustíveis",Combustíveis,cnae_3:473,CNAE declarada no Portal da Transparência,47318
104,00056633000111,TECNOBLU INDUSTRIA E COMERCIO LTDA,14142,"Têxtil, Vestuário e Calçados",Vestuário,cnae_2:14,CNAE declarada no Portal da Transparência,14142
105,00056940000100,UNIPORT ATACADO E DISTRIBUIDORA DE ALIMENTOS LTDA,46931,Comércio Diversificado,Comércio atacadista — diversos,cnae_2:46,CNAE declarada no Portal da Transparência,46931
106,00056940000283,UNIPORT ATACADO E DISTRIBUIDORA DE ALIMENTOS LTDA,46931,Comércio Diversificado,Comércio atacadista — diversos,cnae_2:46,CNAE declarada no Portal da Transparência,46931
107,00057118000156,ARTE TINTAS COMERCIO DE TINTAS LTDA,47415,Materiais de Construção,Materiais de construção,cnae_3:474,CNAE declarada no Portal da Transparência,47415
108,00057240000122,CIPLAN CIMENTO PLANALTO SA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
109,00057852000115,CR BLUECAST INDUSTRIA MECANICA DO BRASIL LTDA,46630,Máquinas e Equipamentos,Comércio de máquinas e equipamentos,cnae_3:466,CNAE declarada no Portal da Transparência,46630
110,00058163000125,POLICIA CIVIL,69117,Serviços Profissionais,Serviços jurídicos e contábeis,cnae_2:69,CNAE declarada no Portal da Transparência,69117
111,00058791000100,CONTAINERS BAHIA LTDA,82997,Serviços Administrativos e Operacionais,Serviços administrativos,cnae_2:82,CNAE declarada no Portal da Transparência,82997
112,00059799000191,HDS SISTEMAS DE ENERGIA LTDA,27104,Máquinas e Equipamentos,Equipamentos elétricos,cnae_2:27,CNAE declarada no Portal da Transparência,27104
113,00059934000107,BRISASOL SERVICOS DE TURISMO LTDA,79112,"Turismo, Hotelaria e Alimentação",Turismo e agências de viagens,cnae_2:79,CNAE declarada no Portal da Transparência,79112
114,00060274000176,COMPENSADOS RELVAPLAC LTDA,16218,"Madeira, Papel e Celulose",Madeira,cnae_2:16,CNAE declarada no Portal da Transparência,16218
115,00061036000185,LIFE EMPREENDIMENTOS E SERVICOS LTDA,81117,Serviços Administrativos e Operacionais,Limpeza e serviços prediais,cnae_2:81,CNAE declarada no Portal da Transparência,81117
116,00061493000170,ENCOPAV ENGENHARIA LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
117,00062851000169,AUTORIO VEICULOS E EQUIPAMENTOS LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
118,00063054000104,BASE SOFTWARE LTDA,62040,Tecnologia da Informação,Tecnologia da informação,cnae_2:62,CNAE declarada no Portal da Transparência,62040
119,00063960000109,WMB SUPERMERCADOS DO BRASIL LTDA.,47113,Alimentos e Bebidas,Supermercados,cnae_5:47113,CNAE declarada no Portal da Transparência,47113
120,00063960000958,WMB SUPERMERCADOS DO BRASIL LTDA.,47113,Alimentos e Bebidas,Supermercados,cnae_5:47113,CNAE declarada no Portal da Transparência,47113
121,00063960002730,WMB SUPERMERCADOS DO BRASIL LTDA.,46915,Alimentos e Bebidas,Comércio de alimentos,cnae_5:46915,CNAE declarada no Portal da Transparência,46915
122,00063960004945,WMB SUPERMERCADOS DO BRASIL LTDA.,47113,Alimentos e Bebidas,Supermercados,cnae_5:47113,CNAE declarada no Portal da Transparência,47113
123,00063960006999,WMB SUPERMERCADOS DO BRASIL LTDA.,47113,Alimentos e Bebidas,Supermercados,cnae_5:47113,CNAE declarada no Portal da Transparência,47113
124,00063960012298,WMB SUPERMERCADOS DO BRASIL LTDA.,47113,Alimentos e Bebidas,Supermercados,cnae_5:47113,CNAE declarada no Portal da Transparência,47113
125,00063960056317,WMB SUPERMERCADOS DO BRASIL LTDA.,47113,Alimentos e Bebidas,Supermercados,cnae_5:47113,CNAE declarada no Portal da Transparência,47113
126,00063960056406,WMB SUPERMERCADOS DO BRASIL LTDA.,47113,Alimentos e Bebidas,Supermercados,cnae_5:47113,CNAE declarada no Portal da Transparência,47113
127,00064336000118,VOUGA VEICULOS E PECAS LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
128,00064494000178,COMERCIAL KUMBUCA DE CEREAIS LTDA,10694,Alimentos e Bebidas,Moagem e alimentos farináceos,cnae_3:106,CNAE declarada no Portal da Transparência,10694
129,00064702000139,SKM ELETRO ELETRONICA LTDA,71120,Serviços Profissionais,Engenharia e arquitetura,cnae_3:711,CNAE declarada no Portal da Transparência,71120
130,00064702000309,SKM ELETRO ELETRONICA LTDA,00000,Serviços Profissionais,Engenharia e arquitetura,inferencia_mesma_raiz,CNAEs informadas em outros estabelecimentos da mesma raiz no snapshot,71120
131,00065584000183,BERNAUER AQUACULTURA LTDA,28291,Máquinas e Equipamentos,Máquinas e equipamentos,cnae_2:28,CNAE declarada no Portal da Transparência,28291
132,00065596000108,INDUSTRIA DE EMBALAGENS PLASTICAS REOLON LTDA,22226,Químico,Plásticos,cnae_3:222,CNAE declarada no Portal da Transparência,22226
133,00065644000168,NUTRANA LTDA EM RECUPERACAO JUDICIAL,56201,"Turismo, Hotelaria e Alimentação",Alimentação coletiva e bufês,cnae_3:562,CNAE declarada no Portal da Transparência,56201
134,00065761000121,BRUNATI IND. E COM. DE MADEIRAS LTDA,00000,"Madeira, Papel e Celulose",Madeira,inferencia_mesma_raiz,CNAEs informadas em outros estabelecimentos da mesma raiz no snapshot,16293
135,00065761000202,BRUNATI IND. E COM. DE MADEIRAS LTDA,16293,"Madeira, Papel e Celulose",Madeira,cnae_2:16,CNAE declarada no Portal da Transparência,16293
136,00066093000157,HARMONIA ACUSTICA SS,71120,Serviços Profissionais,Engenharia e arquitetura,cnae_3:711,CNAE declarada no Portal da Transparência,71120
137,00066130000127,EDUARDO BIER INDUSTRIAL E COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA,11135,Alimentos e Bebidas,Bebidas alcoólicas,cnae_3:111,CNAE declarada no Portal da Transparência,11135
138,00066670000100,BEM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,66126,Financeiro e Seguros,Serviços auxiliares financeiros,cnae_2:66,CNAE declarada no Portal da Transparência,66126
139,00066716000191,LOGIN INFORMATICA COMERCIO E REPRESENTACAO LTDA,47512,Eletrônicos e Eletrodomésticos,Informática,cnae_5:47512,CNAE declarada no Portal da Transparência,47512
140,00066871000108,HAIKAR VEICULOS LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
141,00067563000105,MEGAMIDIA EDITORA E LOCADORA LTDA,77390,Locação de Bens,Locação de máquinas e equipamentos,cnae_3:773,CNAE declarada no Portal da Transparência,77390
142,00068389000107,COOPERATIVA DE CREDITO DA REGIAO DE CRATEUS - SICREDI CRATEUS,64247,Financeiro e Seguros,Bancos,cnae_3:642,CNAE declarada no Portal da Transparência,64247
143,00068525000169,VIOLETA CAFE ALIMENTOS LTDA,56201,"Turismo, Hotelaria e Alimentação",Alimentação coletiva e bufês,cnae_3:562,CNAE declarada no Portal da Transparência,56201
144,00068602000180,GRAAL TINTAS S.A,20711,Químico,Tintas e vernizes,cnae_3:207,CNAE declarada no Portal da Transparência,20711
145,00068691000165,ENGINEERING COMERCIO REPRESENTACAO DE MAQUINAS E TECNOLOGIA LTDA.,28691,Máquinas e Equipamentos,Máquinas e equipamentos,cnae_2:28,CNAE declarada no Portal da Transparência,28691
146,00068735000157,VIP - VIGILANCIA INDUSTRIAL E PATRIMONIAL LTDA,80111,Serviços Administrativos e Operacionais,Segurança e vigilância,cnae_2:80,CNAE declarada no Portal da Transparência,80111
147,00068987000186,COOPERATIVA DE CREDITO ARACREDI LTDA. - SICOOB ARACREDI,64247,Financeiro e Seguros,Bancos,cnae_3:642,CNAE declarada no Portal da Transparência,64247
148,00069957000194,"PORTO A PORTO COMERCIO, IMPORTACAO E EXPORTACAO LTDA",46354,Alimentos e Bebidas,Comércio de bebidas,cnae_5:46354,CNAE declarada no Portal da Transparência,46354
149,00069957000518,"PORTO A PORTO COMERCIO, IMPORTACAO E EXPORTACAO LTDA",46354,Alimentos e Bebidas,Comércio de bebidas,cnae_5:46354,CNAE declarada no Portal da Transparência,46354
150,00070112000119,ALL NATIONS COMERCIO EXTERIOR S.A.,46516,Eletrônicos e Eletrodomésticos,Informática,cnae_5:46516,CNAE declarada no Portal da Transparência,46516
151,00070112000704,ALL NATIONS COMERCIO EXTERIOR S.A.,46516,Eletrônicos e Eletrodomésticos,Informática,cnae_5:46516,CNAE declarada no Portal da Transparência,46516
152,00070112000895,ALL NATIONS COMERCIO EXTERIOR S.A.,46516,Eletrônicos e Eletrodomésticos,Informática,cnae_5:46516,CNAE declarada no Portal da Transparência,46516
153,00070112001000,ALL NATIONS COMERCIO EXTERIOR S.A.,46516,Eletrônicos e Eletrodomésticos,Informática,cnae_5:46516,CNAE declarada no Portal da Transparência,46516
154,00070112001433,ALL NATIONS COMERCIO EXTERIOR S.A.,26213,Eletrônicos e Eletrodomésticos,Informática,cnae_3:262,CNAE declarada no Portal da Transparência,26213
