arquivo,linha_csv,Ano-calendário,CNPJ,Razão Social,Nome Fantasia,Código CNAE,CNAE,Município,UF,Tipo Renúncia,Benefício Fiscal,Fundamento Legal,Descrição,Tributo,Forma Tributação,Valor Renúncia Fiscal (R$)
2015_RenúnciasFiscais.csv,15110,2015,09527446000143,DR CONCENTRADOS DE ALIMENTOS DA AMAZONIA LTDA,DUAS RODAS AMAZONIA,64620,Holdings de instituições não-financeiras,JARAGUÁ DO SUL,SC,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,Sudam/Sudene - Redução 75% Projeto Setor Prioritário,"Medida Provisória nº 2.199-14, de 2001, art. 1º; Lei nº 12.715, de 2012, art. 69; Lei nº 12.995, de 2014, art. 10; Lei nº 13.799, de 2019, art. 1º; Decreto nº 9.682, de 2019.","Isenção e redução do imposto de renda para pessoas jurídicas sujeitas à apuração do imposto de renda trimestral ou anual, que gozem dos benefícios fiscais com base no lucro da exploração.",IRPJ,Isenção/redução do IRPJ com base no lucro da exploração.,"-81864,74"
2015_RenúnciasFiscais.csv,60509,2015,02312431000119,PHSERVICE TELECOMUNICACOES LTDA,,78302,Fornecimento e gestão de recursos humanos para terceiros,CANOAS,RS,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,Programa de Alimentação do Trabalhador,"Lei nº 6.321, de 1976, art. 1º; Lei nº 9.532, de 1997, arts. 5º e 6º, inciso I.","Dedução de até 4% (quatro por cento) do imposto devido, antes do adicional.",IRPJ,Dedução na apuração do IRPJ.,"-3829,60"
2016_RenúnciasFiscais.csv,7223,2016,05554337000164,V CORDEIRO TOLEDO LTDA,ARAGUAIA MATERIAIS PARA CONSTRUCAO,47440,"Comércio varejista de ferragens, madeira e materiais de construção",ARUANÃ,GO,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,Pronac - Programa Nacional de Apoio à Cultura - Dedução do Imposto de Renda,"Lei nº 8.313, de 1991, art. 26, § 1º; Lei nº 9.249, de 1995, art. 13, § 2º, inciso I; Decreto nº 5.761, de 2006, arts. 28 e 30; Lei nº 8.313, de 1991, art. 18, caput e §§ 1º e 3º; Medida Provisória nº 2.228-1, de 2001, art. 39.","Dedução do imposto devido das quantias efetivamente realizadas no período de apuração a título de doações ou patrocínio, tanto mediante contribuições ao Fundo Nacional de Cultura (FNC) na forma de doações.",IRPJ,Dedução na apuração do IRPJ.,"-400,00"
2020_RenúnciasFiscais.csv,61728,2020,57010662001050,VALEO SISTEMAS AUTOMOTIVOS LTDA.,SISTEMAS DE LIMPADORES,29492,Fabricação de peças e acessórios para veículos automotores não especificados anteriormente,CAMPINAS,SP,Imposto de Importação e IPI Vinculado,Imposto de Importação,Redução Para Autopeças Não Produzidas (Art. 1º Da Resolução Gecex 2842021),"Valor em real do incentivo, renúncia, benefício ou imunidade (IRBI) do Imposto de Importação (II). É a diferença entre o II calculado e o II a recolher.",Imposto de Importação,,"-779,00"
2020_RenúnciasFiscais.csv,78003,2020,81243735000148,POSITIVO TECNOLOGIA S.A.,,26213,Fabricação de equipamentos de informática,CURITIBA,PR,Imposto de Importação e IPI Vinculado,Imposto de Importação,Redução Para Autopeças Não Produzidas (Art. 1º Da Resolução Gecex 2842021),"Valor em real do incentivo, renúncia, benefício ou imunidade (IRBI) do Imposto de Importação (II). É a diferença entre o II calculado e o II a recolher.",Imposto de Importação,,"-3690,00"
2022_RenúnciasFiscais.csv,60997,2022,08585033000152,MOBIS BRASIL FABRICACAO DE AUTO PECAS LTDA,MOBIS PARTS BRAZIL,29107,"Fabricação de automóveis, camionetas e utilitários",PIRACICABA,SP,Imposto de Importação e IPI Vinculado,Imposto de Importação,Redução Para Autopeças Não Produzidas (Art. 1º Da Resolução Gecex 2842021),"Valor em real do incentivo, renúncia, benefício ou imunidade (IRBI) do Imposto de Importação (II). É a diferença entre o II calculado e o II a recolher.",Imposto de Importação,,"-4327,00"
2024_RenúnciasFiscais.csv,23894,2024,11111752000146,CONTINENTAL AUTOMOTIVE DO BRASIL LTDA.,,29433,Fabricação de peças e acessórios para o sistema de freios de veículos automotores,VÁRZEA PAULISTA,SP,Imposto de Importação e IPI Vinculado,Imposto de Importação,Redução Para Autopeças Não Produzidas (Art. 1º Da Resolução Gecex 2842021),"Valor em real do incentivo, renúncia, benefício ou imunidade (IRBI) do Imposto de Importação (II). É a diferença entre o II calculado e o II a recolher.",Imposto de Importação,,"-97252,00"
2024_RenúnciasFiscais.csv,25376,2024,17140820000262,BYD DO BRASIL LTDA.,,29204,Fabricação de caminhões e ônibus,CAMPINAS,SP,Imposto de Importação e IPI Vinculado,Imposto de Importação,Redução Para Autopeças Não Produzidas (Art. 1º Da Resolução Gecex 2842021),"Valor em real do incentivo, renúncia, benefício ou imunidade (IRBI) do Imposto de Importação (II). É a diferença entre o II calculado e o II a recolher.",Imposto de Importação,,"-389,00"
2024_RenúnciasFiscais.csv,30083,2024,57010662001565,VALEO SISTEMAS AUTOMOTIVOS LTDA.,SISTEMAS ELETRICOS,29492,Fabricação de peças e acessórios para veículos automotores não especificados anteriormente,CAMPINAS,SP,Imposto de Importação e IPI Vinculado,Imposto de Importação,Redução Para Autopeças Não Produzidas (Art. 1º Da Resolução Gecex 2842021),"Valor em real do incentivo, renúncia, benefício ou imunidade (IRBI) do Imposto de Importação (II). É a diferença entre o II calculado e o II a recolher.",Imposto de Importação,,"-355,00"
